repo_age,logger/lloc
733.24,0.0224
1079.28,0.0286
1083.77,0.0101
727.17,0.0034
824.05,0.0540
1282.26,0.0121
717.60,0.0036
1357.92,0.0004
671.69,0.0000
939.81,0.0162
1313.49,0.0514
1728.41,0.0007
2028.38,0.0399
888.03,0.0199
1682.57,0.0260
2228.55,0.0034
1410.83,0.0306
3419.60,0.0014
2254.11,0.0326
514.16,0.0405
2166.71,0.0050
4114.92,0.0062
2970.58,0.0005
2808.16,0.0146
960.66,0.0009
518.03,0.0101
3528.76,0.0172
3099.76,0.0238
2991.35,0.0559
502.89,0.0039
805.35,0.0393
1063.01,0.0074
1619.75,0.0000
1278.47,0.0399
917.37,0.0019
1641.53,0.0217
1127.45,0.1418
810.74,0.0141
2184.49,0.0504
677.47,0.0373
2419.05,0.0249
872.07,0.0282
3130.79,0.0034
2829.36,0.1860
1902.51,0.0007
1618.53,0.0136
2148.50,0.0017
1592.04,0.0027
1407.21,0.0076
1710.94,0.0263
1527.28,0.0138
1531.09,0.0410
1431.89,0.0129
2511.21,0.0244
1849.14,0.0132
2568.82,0.0103
735.52,0.0000
2126.87,0.0377
1626.10,0.0095
3703.32,0.0177
2403.73,0.0072
525.30,0.0088
1354.97,0.0125
1986.88,0.0141
1325.02,0.0122
1929.29,0.0081
833.07,0.0191
2036.13,0.0237
1862.99,0.0361
565.57,0.0288
1813.80,0.0000
1784.38,0.0489
1096.90,0.0404
1180.59,0.0003
1513.13,0.0025
3447.87,0.0062
1914.61,0.0016
1217.15,0.0230
1018.19,0.0000
325.06,0.0036
2253.23,0.0165
2662.45,0.0349
999.89,0.0034
1470.19,0.0472
855.34,0.0021
1148.52,0.0078
2913.17,0.0005
2432.33,0.0148
2837.04,0.0000
2900.34,0.0058
1537.94,0.0723
3709.67,0.0030
2822.52,0.0325
28.49,0.0072
464.88,0.0134
1001.10,0.0138
1954.59,0.0022
1985.22,0.0360
2036.37,0.0154
1036.42,0.0000
1987.61,0.0306
2042.26,0.0186
1952.58,0.0016
3195.87,0.0168
1210.64,0.0114
2301.17,0.0000
1182.79,0.0015
304.50,0.0056
441.39,0.0085
219.85,0.0169
467.81,0.0095
733.91,0.0168
1042.87,0.0162
1070.18,0.0126
932.26,0.0139
257.19,0.0003
1015.59,0.0013
2662.26,0.0006
3033.49,0.0028
1204.35,0.0222
2809.61,0.0079
1026.76,0.0111
1462.07,0.0002
919.34,0.0143
363.80,0.0082
607.88,0.0000
465.62,0.0303
1106.43,0.0004
2977.44,0.0005
297.47,0.0084
4069.87,0.0042
1227.02,0.0179
2178.17,0.0017
3104.11,0.0022
504.82,0.0053
938.83,0.0110
1105.66,0.0127
1038.45,0.0050
2585.86,0.0612
894.40,0.0260
2259.97,0.0614
142.98,0.0040
1021.86,0.0027
2914.14,0.0017
861.79,0.0017
664.70,0.0067
437.84,0.0003
3514.92,0.0060
2612.50,0.0030
2624.24,0.0053
1122.98,0.0203
3597.33,0.0000
1885.37,0.0000
2905.04,0.0037
4089.76,0.0039
2599.16,0.0178
2491.81,0.0237
4166.79,0.0078
2194.90,0.0481
2621.91,0.0008
1149.47,0.0003
1797.38,0.0067
1185.22,0.0106
2936.33,0.0353
3063.21,0.0271
3265.31,0.0067
2615.68,0.0055
1803.81,0.0111
1784.38,0.0225
925.19,0.0020
2424.98,0.0023
778.30,0.0116
3418.90,0.0047
2206.25,0.0045
969.82,0.0023
639.99,0.0069
1063.18,0.0141
891.22,0.0009
2007.63,0.0070
1601.15,0.0019
2164.10,0.0061
3277.71,0.0045
2355.98,0.0021
1652.75,0.0000
1405.13,0.0472
1549.97,0.0195
512.54,0.0254
423.28,0.0157
2123.29,0.0186
1413.72,0.0253
2477.21,0.0202
1886.35,0.0012
3215.11,0.0169
1763.19,0.0000
2108.41,0.0041
2072.47,0.0059
2530.34,0.0261
1943.73,0.0435
3413.73,0.0329
489.03,0.0075
223.31,0.0709
1794.87,0.0047
1573.55,0.0419
